resource name	dataset name	description	data type	data group	association	attribute type	attribute group
Gene Expression Omnibus	GEO Signatures of Differentially Expressed Genes for Small Molecules	mRNA expression profiles for cell lines or tissues following chemical perturbation measured by microarray	gene expression microarray	transcriptomics	gene-small molecule associations by differential expression of gene following chemical perturbation	small molecule	chemical
Gene Expression Omnibus	GEO Signatures of Differentially Expressed Genes for Transcription Factor Perturbations	mRNA expression profiles for cell lines or tissues following transcription factor perturbation (inhibition, activation, knockdown, knockout, over-expression, mutation) measured by microarray	gene expression microarray	transcriptomics	gene-transcription factor associations by differential expression of gene following perturbation of transcription factor	transcription factor	gene
Gene Expression Omnibus	GEO Signatures of Differentially Expressed Genes for Viral Infections	mRNA expression profiles for cell lines or tissues following virus perturbation measured by microarray	gene expression microarray	transcriptomics	gene-disease associations by differential expression of gene following virus perturbation	virus	organism
Gene Ontology	GO Biological Process Annotations	curated annotations of genes with biological processes	literature curation	structural or functional annotations	gene-biological process associations from curated gene annotations	biological process	functional term, phrase or reference
Gene Ontology	GO Cellular Component Annotations	curated annotations of genes with cellular components	literature curation	structural or functional annotations	gene-cellular component associations from curated gene annotations	cellular component	functional term, phrase or reference
Gene Ontology	GO Molecular Function Annotations	curated annotations of genes with molecular functions	literature curation	structural or functional annotations	gene-molecular function associations from curated gene annotations	molecular function	functional term, phrase or reference
Gene Reference Into Function	GeneRIF Biological Term Annotations	statements describing functions of genes distilled from biomedical publications	literature curation	structural or functional annotations	gene-biological term associations from literature-supported statements describing functions of genes	biological term	functional term, phrase or reference
GeneSigDB	GeneSigDB Published Gene Signatures	gene signatures reported in the literature that were derived from analysis of transcriptomic or proteomic data	data aggregation	omics	gene-PubMedID associations by PubMedID of publication reporting gene signature	PubMedID	functional term, phrase or reference
Genetic Association Database	GAD Gene-Disease Associations	positive and negative gene-disease associations curated from genetic association studies	genetic association	disease or phenotype associations	gene-disease associations curated from genetic association studies	disease	disease, phenotype or trait
Genetic Association Database	GAD High Level Gene-Disease Associations	gene-disease associations curated from genetic association studies	genetic association	disease or phenotype associations	gene-disease associations curated from genetic association studies	disease	disease, phenotype or trait
Genomics of Drug Sensitivity in Cancer	GDSC Cell Line Gene Expression Profiles	mRNA expression profiles for cancer cell lines measured by microarray	gene expression microarray	transcriptomics	gene-cell associations by differential expression of gene across cell lines	cell	cell or tissue
Genotype Tissue Expression	GTEx eQTL	significance values for all gene-SNP pairs testing likelihood that SNP affects gene expression	eQTL mapping	genomics	gene-SNP associations by likelihood that SNP regulates gene	SNP	sequence feature
Genotype Tissue Expression	GTEx Tissue Gene Expression Profiles	mRNA expression profiles for tissues measured by RNA-seq	gene expression RNA-seq	transcriptomics	gene-tissue associations by differential expression of gene across tissues	tissue	cell or tissue
Genotype Tissue Expression	GTEx Tissue Sample Gene Expression Profiles	mRNA expression profiles for tissue samples measured by RNA-seq	gene expression RNA-seq	transcriptomics	gene-tissue sample associations by differential expression of gene across tissue samples	tissue sample	cell or tissue
Graph of Medicine	Graph of Medicine EHR Text-mining Clinical Term Annotations	co-occurrence frequencies for pairs of medical terms in electronic health records	text-mining	structural or functional annotations	gene-clinical term associations by co-occurrence frequency in electronic health records	clinical term	functional term, phrase or reference
Guide to Pharmacology	Guide to Pharmacology Chemical Ligands of Receptors	ligand-receptor interactions curated by experts	literature curation	physical interactions	receptor-ligand (chemical) associations by expert curation	ligand (chemical)	chemical
Guide to Pharmacology	Guide to Pharmacology Protein Ligands of Receptors	ligand-receptor interactions curated by experts	literature curation	physical interactions	receptor-ligand (protein) associations by expert curation	ligand (protein)	gene
GWAS Catalog	GWAS Catalog SNP-Phenotype Associations	SNP-phenotype association p-values curated from published GWAS	genetic association	disease or phenotype associations	gene-phenotype associations by manual GWAS curation	phenotype	disease, phenotype or trait
GWASdb	GWASdb SNP-Disease Associations	SNP-disease association p-values curated from published GWAS	genetic association	disease or phenotype associations	gene-disease associations by manual GWAS curation	disease	disease, phenotype or trait
GWASdb	GWASdb SNP-Phenotype Associations	SNP-phenotype association p-values curated from published GWAS	genetic association	disease or phenotype associations	gene-phenotype associations by manual GWAS curation	phenotype	disease, phenotype or trait
Heiser	Heiser Cell Line Gene Expression Profiles	mRNA expression profiles for breast cancer cell lines measured by microarray	gene expression microarray	transcriptomics	gene-cell associations by differential expression of gene across cell lines	cell	cell or tissue
Hub Proteins	Hub Protein Protein-Protein Interactions	sets of proteins interacting with hub proteins	data aggregation	physical interactions	gene-hub associations from aggregated protein-protein interaction data	hub	gene
HuGE Navigator	HuGE Navigator Gene-Phenotype Associations	gene-phenotype associations extracted from published GWAS by automated text-mining	genetic association	disease or phenotype associations	gene-phenotype associations by automated GWAS curation	phenotype	disease, phenotype or trait
Human Metabolome Database	HMDB Metabolites of Enzymes	biomolecular interactions between metabolites and proteins, such as processing enzymes, curated from literature	literature curation	physical interactions	gene-metabolite associations by manual literature curation	metabolite	chemical
Human Phenotype Ontology	HPO Gene-Disease Associations	phenotype-causing gene mutations of human phenotypes from disease knowledgebases	data aggregation	disease or phenotype associations	gene-phenotype associations by mapping disease genes to disease phenotypes	phenotype	disease, phenotype or trait
Human Protein Atlas	HPA Cell Line Gene Expression Profiles	mRNA expression profiles for cell lines measured by RNA-Seq	gene expression RNA-seq	transcriptomics	gene-cell associations by differential expression of gene across cell lines	cell	cell or tissue
Human Protein Atlas	HPA Tissue Gene Expression Profiles	mRNA expression profiles for tissues measured by RNA-seq	gene expression RNA-seq	transcriptomics	gene-tissue associations by differential expression of gene across tissues	tissue	cell or tissue
Human Protein Atlas	HPA Tissue Protein Expression Profiles	semiquantitative protein expression profiles for tissues measured by immunohistochemistry	protein expression immunohistochemistry	proteomics	gene-tissue associations by differential expression of protein across tissues	tissue	cell or tissue
Human Protein Atlas	HPA Tissue Sample Gene Expression Profiles	mRNA expression profiles for tissue samples measured by RNA-seq	gene expression RNA-seq	transcriptomics	gene-tissue sample associations by differential expression of gene across tissue samples	tissue sample	cell or tissue
Human Protein Resource Database	HPRD Protein-Protein Interactions	protein-protein interactions from low-throughput or high-throughput studies	data aggregation	physical interactions	gene-gene associations from low-throughput or high-throughput protein-protein interaction data	gene	gene
Human Proteome Map	HPM Cell and Tissue Protein Expression Profiles	protein expression profiles for tissues and cell lines measured by mass spectrometry	protein expression mass spectrometry	proteomics	gene-cell or tissue associations by differential expression of protein across tissues and cell lines	cell or tissue	cell or tissue
HumanCyc	HumanCyc Biomolecular Interactions	biomolecular interactions by pathway	literature curation	physical interactions	gene-gene associations from curated pathways	gene	gene
HumanCyc	HumanCyc Pathways	sets of proteins participating in pathways	literature curation	structural or functional annotations	gene-pathway associations from curated pathways	pathway	functional term, phrase or reference
Jaspar PWMs	JASPAR Transcription Factor Targets	target genes of transcription factors  predicted using known transcription factor binding site motifs	prediction	genomics	gene-transcription factor associations predicted using known transcription factor binding site motifs	transcription factor	gene
Kinase Enrichment Analysis	KEA Substrates of Kinases	protein substrates of kinases from published low-throughput and high-throughput phosphoproteomics studies	data aggregation	physical interactions	substrate-kinase associations from low-throughput or high-throughput phosphoproteomics data	kinase	gene
Kinativ	Kinativ Kinase Inhibitor Bioactivity Profiles	percent inhibition of kinases by small molecules measured in cell lysates	chemical bioactivity	physical interactions	kinase-chemical bioactivity profile associations by percent inhibition of kinase by chemical in cell line	chemical bioactivity profile	molecular profile
KinomeScan	KinomeScan Kinase Inhibitor Targets	kinase inhibitor targets from percent inhibition of kinases by small molecules measured using purified kinases	chemical bioactivity	physical interactions	kinase-chemical associations by percent inhibition of kinase by chemical	chemical	chemical
Klijn	Klijn Cell Line Gene CNV Profiles	gene-level copy number variation profiles for cancer cell lines measured by SNP microarray	copy number variation microarray	genomics	gene-cell associations by copy number variation of gene across cell lines	cell	cell or tissue
Klijn	Klijn Cell Line Gene Expression Profiles	mRNA expression profiles for cancer cell lines measured by RNA-seq	gene expression RNA-seq	transcriptomics	gene-cell associations by differential expression of gene across cell lines	cell	cell or tissue
Klijn	Klijn Cell Line Gene Mutation Profiles	gene mutations in cancer cell lines measured by SNP microarray	single nucleotide polymorphism microarray	genomics	gene-cell associations by mutation of gene in cell line	cell	cell or tissue
Kyoto Encyclopedia of Genes and Genomes	KEGG Biomolecular Interactions	biomolecular interactions by pathway	literature curation	physical interactions	gene-gene associations from curated pathways	gene	gene
Kyoto Encyclopedia of Genes and Genomes	KEGG Pathways	sets of proteins participating in pathways	literature curation	structural or functional annotations	gene-pathway associations from curated pathways	pathway	functional term, phrase or reference
LINCS L1000 Connectivity Map	L1000 CMAP Signatures of Differentially Expressed Genes for Gene Knockdowns	mRNA expression profiles for cell lines following gene knockdown measured using the L1000 bead-based expression assay	gene expression L1000 assay	transcriptomics	gene-gene associations by differential expression of gene A following knockdown of gene B	gene	gene
LINCS L1000 Connectivity Map	L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules	mRNA expression profiles for cell lines following  chemical perturbation measured using the L1000 bead-based expression assay	gene expression L1000 assay	transcriptomics	gene-small molecule associations by differential expression of gene following chemical perturbation	small molecule	chemical
LOCATE	LOCATE Protein Localization Annotations	subcellular localization of proteins from low-throughput or high-throughput protein localization assays	data aggregation	proteomics	gene-cellular component associations from low-throughput or high-throughput protein localization assays	cellular component	functional term, phrase or reference
Mammalian Phenotype Ontology	MPO Gene-Phenotype Associations	observed phenotypes of transgenic mice collected from mouse phenotyping studies	phenotyping	disease or phenotype associations	gene-phenotype associations from phenotyping studies of knockout mice	phenotype	disease, phenotype or trait
MiRTarBase	MiRTarBase microRNA Targets	target genes of microRNAs from published experiments	data aggregation	physical interactions	gene-microRNA associations from low-throughput or high-throughput microRNA targeting studies	microRNA	gene
Molecular Interaction Database	IntAct Biomolecular Interactions	biomolecular interactions from low-throughput or high-throughput studies	data aggregation	physical interactions	gene-gene associations from low-throughput or high-throughput protein-protein interaction data	gene	gene
Molecular Signatures Database	MSigDB Cancer Gene Co-expression Modules	computational signatures of genes co-expressed with cancer related genes	gene expression microarray or RNA-seq	transcriptomics	gene-gene associations by co-expression of genes across collections of microarray samples 	gene	gene
Molecular Signatures Database	MSigDB Signatures of Differentially Expressed Genes for Cancer Gene Perturbations	oncogenic signatures of genes differentially expressed following cancer gene perturbations	gene expression microarray or RNA-seq	transcriptomics	gene-gene associations by differential expression of gene A following perturbation of gene B	gene	gene
MotifMap	MotifMap Transcription Factor Targets	target genes of transcription factors  predicted using known transcription factor binding site motifs	prediction	genomics	gene-transcription factor associations predicted using known transcription factor binding site motifs	transcription factor	gene
Nuclear Receptor Signaling Atlas	NURSA Protein Complexes	proteins identified by mass spectrometry in complexes isolated from cultured cells by immuno-precipitation	protein complex IP-MS	proteomics	gene-protein complex associations by identification of protein in complex recovered using IP-MS	protein complex	functional term, phrase or reference
Nuclear Receptor Signaling Atlas	NURSA Protein-Protein Interactions	protein-protein interactions inferred from membership in complexes identified by immuno-precipitation followed by mass spectrometry	protein complex IP-MS	proteomics	gene-gene associations by co-occurrence of proteins in complexes recovered using IP-MS	gene	gene
Online Mendelian Inheritance in Man	OMIM Gene-Disease Associations	disease- or phenotype-causing gene mutations for heritable human diseases or phenotypes curated from biomedical publications	literature curation	disease or phenotype associations	gene-phenotype associations by literature evidence for phenotype-causing gene mutations	phenotype	disease, phenotype or trait
PANTHER	PANTHER Biomolecular Interactions	biomolecular interactions by pathway	literature curation	physical interactions	gene-gene associations from curated pathways	gene	gene
PANTHER	PANTHER Pathways	sets of proteins participating in pathways	literature curation	structural or functional annotations	gene-pathway associations from curated pathways	pathway	functional term, phrase or reference
Pathway Commons	PC Protein-Protein Interactions	protein-protein interactions from low-throughput or high-throughput studies aggregated by Pathway Commons from the following databases: Reactome, NCI Pathways, PhosphoSite, HumanCyc, HPRD, PANTHER, DIP, BioGRID, IntAct, BIND, Transfac, MiRTarBase, Drugbank, Recon X, Comparative Toxicogenomics Database, and KEGG	data aggregation	physical interactions	gene-gene associations from low-throughput or high-throughput protein-protein interaction data	gene	gene
Pathway Interaction Database	PID Biomolecular Interactions	biomolecular interactions by pathway	literature curation	physical interactions	gene-gene associations from curated pathways	gene	gene
Pathway Interaction Database	PID Pathways	sets of proteins participating in pathways	literature curation	structural or functional annotations	gene-pathway associations from curated pathways	pathway	functional term, phrase or reference
Phosphosite Textmining	Phosphosite Textmining Biological Term Annotations	occurrence frequencies for biological terms in abstracts of publications describing phosphosites	text-mining	structural or functional annotations	gene-biological term associations by occurrence of biological term in abstracts of publications describing phosphosite on protein	biological term	functional term, phrase or reference
PhosphoSitePlus	PhosphoSitePlus Substrates of Kinases	kinase-substrate interactions curated from low-throughput or high-throughput phosphoproteomics studies	data aggregation	physical interactions	substrate-kinase associations from low-throughput or high-throughput phosphoproteomics data	kinase	gene
Proteomics Database	ProteomicsDB Cell and Tissue Protein Expression Profiles	protein expression profiles for tissues and cell lines reprocessed from many proteomics datasets	protein expression mass spectrometry	proteomics	gene-cell or tissue associations by differential expression of protein across tissues and cell lines	cell or tissue	cell or tissue
Reactome	Reactome Biomolecular Interactions	biomolecular interactions by pathway	literature curation	physical interactions	gene-gene associations from curated pathways	gene	gene
Reactome	Reactome Pathways	sets of proteins participating in pathways	literature curation	structural or functional annotations	gene-pathway associations from curated pathways	pathway	functional term, phrase or reference
Recon X	Recon X Biomolecular Interactions	biomolecular interactions from network reconstruction	prediction	physical interactions	gene-gene associations from reconstructed metabolic network	gene	gene
Roadmap Epigenomics	Roadmap Epigenomics Cell and Tissue DNA Accessibility Profiles	DNA accessibility profiles for primary cells and tissues measured by Dnase-seq	DNA accessibility DNase-seq	genomics	gene-cell or tissue associations by differential accessibility of gene across cell and tissue types	cell or tissue	cell or tissue
Roadmap Epigenomics	Roadmap Epigenomics Cell and Tissue DNA Methylation Profiles	DNA methylation profiles for primary cells and tissues measured by bisulfite sequencing, MeDIP-seq or MRE-seq	DNA methylation bisulfite sequencing, MeDIP-seq, or MRE-seq	genomics	gene-cell or tissue associations by differential methylation of gene across cell and tissue types	cell or tissue	cell or tissue
Roadmap Epigenomics	Roadmap Epigenomics Cell and Tissue Gene Expression Profiles	mRNA expression profiles for primary cells and tissues measured by RNA-seq	gene expression RNA-seq	transcriptomics	gene-cell or tissue associations by differential expression of gene across cell and tissue types	cell or tissue	cell or tissue
Roadmap Epigenomics	Roadmap Epigenomics Histone Modification Site Profiles	histone modification profiles for primary cells and tissues measured by ChIP-seq	histone modification ChIP-seq	genomics	gene-histone modification site profile associations by modification of histone near gene in cell or tissue	histone modification site profile	molecular profile
SILAC Phosphoproteomics	SILAC Signatures of Differentially Phosphorylated Proteins for Drugs	phosphorylation levels of proteins in cell lines following drug treatment measured by SILAC	protein phosphorylation SILAC	proteomics	gene-drug associations by differential phosphorylation of protein following treatment of cells with drug	drug	chemical
SILAC Phosphoproteomics	SILAC Signatures of Differentially Phosphorylated Proteins for Gene Perturbations	phosphorylation levels of proteins in cell lines following genetic perturbation (knockdown, knockout, over-expression, mutation) measured by SILAC	protein phosphorylation SILAC	proteomics	gene-gene associations by differential phosphorylation of protein following genetic perturbation of cells	gene	gene
SILAC Phosphoproteomics	SILAC Signatures of Differentially Phosphorylated Proteins for Protein Ligands	phosphorylation levels of proteins in cell lines following ligand treatment measured by SILAC	protein phosphorylation SILAC	proteomics	gene-ligand (protein) associations by differential phosphorylation of protein following treatment of cells with ligand	ligand (protein)	gene
SNPedia	SNPedia Navigator SNP-Phenotype Associations	SNP-phenotype associations curated by SNPedia users from various sources	genetic association	disease or phenotype associations	gene-phenotype associations by crowd-sourced curation	phenotype	disease, phenotype or trait
TargetScan microRNA	TargetScan microRNA Targets	target genes of microRNAs predicted by searching genes for sites matching known miRNA seed regions	prediction	genomics	gene-microRNA associations predicted using known miRNA seed sequences	microRNA	gene
The Cancer Genome Atlas	TCGA Signatures of Differentially Expressed Genes for Tumors	mRNA expression profiles for tumor and normal tissue samples measured by RNA-seq	gene expression RNA-seq	transcriptomics	gene-tissue sample associations by differential expression of gene across tissue samples	tissue sample	cell or tissue
TISSUES	TISSUES Curated Tissue Protein Expression Evidence Scores	protein tissue expression evidence scores by manual literature curation	literature curation	structural or functional annotations	gene-tissue associations by integrating evidence from manual literature curation	tissue	cell or tissue
TISSUES	TISSUES Experimental Tissue Protein Expression Evidence Scores	protein tissue expression evidence scores by integrating experimental data	data aggregation	proteomics	gene-tissue associations by integrating evidence from experimental studies	tissue	cell or tissue
TISSUES	TISSUES Text-mining Tissue Protein Expression Evidence Scores	gene-tissue co-occurrence scores from text-mining biomedical abstracts	text-mining	structural or functional annotations	gene-tissue associations from automated text-mining of biomedical literature	tissue	cell or tissue
TRANSFAC	TRANSFAC Curated Transcription Factor Targets	target genes of transcription factors manually curated from low-throughput or high-throughput transcription factor functional studies	data aggregation	genomics	gene-transcription factor associations from low-throughput or high-throughput transcription factor functional studies	transcription factor	gene
TRANSFAC	TRANSFAC Predicted Transcription Factor Targets	target genes of transcription factors  predicted using known transcription factor binding site motifs	prediction	genomics	gene-transcription factor associations predicted using known transcription factor binding site motifs	transcription factor	gene
Universal Protein Resource	UniProt Protein Domain Annotations	protein domains predicted for gene products based on sequence similarity to known domain signatures	prediction	structural or functional annotations	gene-protein domain associations by sequence similarity to domain signatures	protein domain	structural feature
Virus MINT	Virus MINT Protein-Viral Protein Interactions	interactions between viral and human proteins manually curated from literature	literature curation	physical interactions	gene-viral protein associations from curated protein interaction studies	viral protein	gene
Wikipathways	Wikipathways Pathways	sets of proteins participating in pathways	literature curation	structural or functional annotations	gene-pathway associations from curated pathways	pathway	functional term, phrase or reference
Grants Per Gene	Grants Per Gene	grants	grants	grants	grants	grants	grants
